Num,Nom,X,Y,Surface,Altitude
Y0115410,La Massane a argeles-sur-Mer [Mas d en Tourens],"653519","1724862",17.199999999999999,"81"
V4275010,La Gervanne a Beaufort-sur-Gervanne,"822431","1978970",108.000000000000000,"325"
V5324010,L aygues a Saint-May [Pont de la Tune],"835824","1941392",473.000000000000000,"382"
X0310010,La Durance a embrun [La clapiere],"929808","1958813",2170.000000000000000,"787"
Y6042010,Le Var a entrevaux [Pont-Levis],"959268","1893223",676.000000000000000,"465"
Y6432010,Le Var a Malaussene [La Mescla],"990538","1890624",1830.000000000000000,"170"
X0500010,La Durance a espinasses [Serre-Poncon],"913855","1948816",3580.000000000000000,"652"
X2202010,Le Verdon a Demandolx [castillon],"938004","1884354",655.000000000000000,"790"
X1130010,La Durance a oraison [escale],"894551","1905136",6760.000000000000000,"415"
X1225010,Le Bes a la Javie [esclangon-Peroure],"914080","1921980",165.000000000000000,"805"
V4225010,Le Bez a chatillon-en-Diois,"850100","1970791",227.000000000000000,"558"
Y6434010,L esteron au Broc [La clave],"987752","1883420",451.000000000000000,"127"
O3031010,Le Tarn a Bedoues [cocures],"702293","1928006",189.000000000000000,"565"
V5425210,La Gagniere a Gagnieres [Bannes],"741800","1926971",55.299999999999997,"193"
O3006710,La Goudech a Saint-Maurice-de-Ventalon [La cepede],"715880","1927760",10.000000000000000,"1008"
O3035210,Le Briancon aux Bondons [cocures],"701835","1929101",25.000000000000000,"591"
K0010010,La Loire a usclades-et-Rieutord [Rieutord],"744154","1976301",62.000000000000000,"1012"
V7115010,Le Gardon de Sainte-croix a Gabriac [Pont Ravagers],"710380","1910970",47.000000000000000,"380"
V4145210,La Glueyre a Gluiras [Tisoneche],"772593","1983373",71.000000000000000,"411"
Y2214010,La Lergue a Lodeve,"679638","1858999",228.000000000000000,"153"
O4102510,L agout a Fraisse-sur-agout,"638444","1846445",48.000000000000000,"792"
O3011010,Le Tarn au Pont-de-Montvert [Fontchalettes],"713110","1929950",67.000000000000000,"905"
Y2035010,La Vis a Saint-Laurent-le-Minier,"708111","1882957",332.000000000000000,"149"
Y2015010,L arre au Vigan [La Terrisse],"706128","1889650",159.000000000000000,"187"
G2011010,La Bethune a Saint-aubin-le-cauf,"517086","2541345",307.000000000000000,"14"
E4306010,La Hem a Tournehem-sur-la-Hem [Guemy],"578397","2645262",105.000000000000000,"32"
H3621010,Le Loing a episy,"633472","2370967",3900.000000000000000,"48"
H7033010,Le Thon a origny-en-Thierache,"721043","2545585",258.000000000000000,"140"
H5172010,La Saulx a Vitry-en-Perthois,"768433","2418744",2100.000000000000000,"94"
H6201010,L aisne a Mouron,"777975","2481612",2280.000000000000000,"102"
H7401010,L oise a Sempigny,"647560","2507094",4290.000000000000000,"33"
L7000610,La Vienne a Nouatre,"463848","2229215",19920.000000000000000,"40"
I0011010,La Risle a Rai,"471010","2417870",149.000000000000000,"205"
H9021010,L eure a Saint-Luperce,"522651","2383883",330.000000000000000,"154"
H78335XX,L Ysieux a Viarmes [collage: Giez+Bertinval],"605790","2459500",57.299999999999997,"39"
L2443010,L auxance a Quincay,"440800","2182490",262.000000000000000,"83"
M1213010,La Braye a Valennes [La caboche],"486825","2336100",270.000000000000000,"101"
K6492510,La Sauldre a Selles-sur-cher,"539180","2254880",2254.000000000000000,"73"
M1354020,L escotais a Saint-Paterne-Racan,"460299","2290931",67.000000000000000,"62"
H4223110,La Remarde a Saint-cyr-sous-Dourdan,"577600","2396770",147.000000000000000,"77"
K5653010,L auron a Bourges [L ormediot],"608476","2226352",585.000000000000000,"130"
H4252010,L orge a Morsang-sur-orge,"600344","2407668",922.000000000000000,"35"
K7312610,L indre a Saint-cyran-du-Jambot,"508056","2224821",1712.000000000000000,"85"
M0243010,L orne Saosnoise a Montbizot [Moulin Neuf cidrerie],"441415","2353322",510.000000000000000,"50"
K7514010,L echandon a Saint-Branchs,"485127","2250845",127.000000000000000,"63"
K7414010,La Tourmente a Villeloin-coulange [coulange],"516824","2237825",109.000000000000000,"96"
A5261010,Le Madon a Mirecourt,"881861","2373834",382.000000000000000,"261"
A9352050,L eichel a oermingen,"950770","2455401",280.000000000000000,"210"
A7881010,La Seille a Metz [pont Lothaire],"881329","2462728",1280.000000000000000,"163"
B2220010,La Meuse a Saint-Mihiel,"834386","2435058",2540.000000000000000,"219"
B4631010,La chiers a carignan,"804088","2518371",1967.000000000000000,"159"
H2062010,Le Beuvron a ouagne [champmoreau],"687315","2268925",264.000000000000000,"161"
U1324010,L ouche a Plombieres-les-Dijon,"799810","2262580",655.000000000000000,"243"
H0321030,L ource a autricourt,"770035","2335726",548.000000000000000,"198"
H0100010,La Seine a Nod-sur-Seine,"767439","2309604",371.000000000000000,"248"
H0100020,La Seine a Plaines-Saint-Lange,"760029","2335130",704.000000000000000,"179"
U2356610,Le Rupt a Dung,"932546","2287200",42.200000000000003,"322"
B5322010,La Vence a la Francheville,"771604","2528263",124.000000000000000,"150"
H2073110,Le Sauzay a corvol-l orgueilleux,"680799","2270671",81.000000000000000,"172"
H7021010,L oise a Hirson,"724532","2548691",315.000000000000000,"161"
U0474010,La Lanterne a Fleurey-les-Faverney,"880330","2312100",1020.000000000000000,"211"
A9091050,La Sarre a Keskastel,"944301","2451589",878.000000000000000,"208"
U1054010,L ognon a Beaumotte-aubertans,"889978","2275556",1250.000000000000000,"229"
A9132050,L albe a Sarralbe [Rech],"942216","2452909",407.000000000000000,"208"
K1724210,La Dragne a Vandenesse,"708703","2213318",115.000000000000000,"210"
U4624010,L azergues a chatillon,"779068","2099730",336.000000000000000,"206"
U3214010,La Grosne a Jalogny [cluny],"777773","2158620",332.000000000000000,"244"
A5431010,Le Madon a Pulligny,"880252","2400790",940.000000000000000,"225"
H2342020,Le Serein a chablis [Pont de la deviation],"708712","2314709",1119.000000000000000,"128"
O8113510,Le cele a Figeac [Merlancon],"572041","1954232",676.000000000000000,"182"
P2484010,Le ceou a Saint-cybranet,"507732","1977200",603.000000000000000,"74"
P4271010,La Vezere a campagne,"491169","1990099",3736.000000000000000,"51"
J7824010,L aron a Grand-Fougeray [La Bernardais],"297959","2309261",118.000000000000000,"13"
J8602410,L aff a Paimpont [Pont du Secret],"265728","2341008",30.199999999999999,"64"
M7112410,La Sevre Nantaise a Tiffauges [La Moulinette],"337730","2230090",814.000000000000000,"43"
J8433010,La claie a Saint-Jean-Brevelay,"222912","2326137",137.000000000000000,"44"
J7973010,Le canut Sud a Saint-Just [La riviere colombel],"276705","2317415",37.000000000000000,"25"
J0144010,La Loysance a Saint-ouen-la-Rouerie,"320847","2387708",81.500000000000000,"50"
J4224010,Le Jet a ergue-Gaberic [Kerjean],"126454","2351318",107.000000000000000,"18"
J7353010,Le Meu a Montfort-sur-Meu [L abbaye],"281446","2356379",468.000000000000000,"29"
J8363110,L Yvel a Loyat [Pont D 129],"249033","2343342",315.000000000000000,"33"
J3205710,L aber Wrac h au Drennec,"105685","2413594",24.000000000000000,"34"
J4214510,Le Langelin a Briec [Pont D 72],"129481","2363792",7.000000000000000,"130"
J2603010,Le Jarlot a Plougonven,"147389","2414104",44.000000000000000,"18"
M5222010,Le Layon a Saint-Lambert-du-Lattay [Pont de Bezigon],"375608","2261625",920.000000000000000,"15"
M6323010,L erdre a cande [La Gree],"345293","2289926",169.000000000000000,"34"
M6333020,L erdre a Nort-sur-erdre [Moulin de Vault],"312223","2280917",472.000000000000000,"4"
J5613010,L evel a Guenin,"203163","2335808",316.000000000000000,"39"
J0323010,Le Guyoult a epiniac,"302691","2399536",63.000000000000000,"18"
N3001610,Le Grand Lay a Saint-Prouant [Monsireigne],"348880","2199730",131.000000000000000,"63"
J7483010,La Seiche a Bruz [carce],"297327","2343403",820.000000000000000,"15"
N3113010,Le Petit Lay a Saint-Hilaire-le-Vouhis,"336171","2193106",262.000000000000000,"35"
M5102010,Le Layon a Saint-Georges-sur-Layon,"394615","2247235",250.000000000000000,"44"
